"gene" "TF" "p_value" "FDR" "rho"
"52" "EDN1" "PHOX2B" 0.44342826931231 0.640995319996013 -0.0917379438991789
"53" "EDN1" "NFKB1" 0.764116439742401 0.863223056595743 -0.0359830214161682
"54" "EDN1" "ELF2" 0.904823665313405 0.939489888602862 -0.0143417583124317
"55" "EDN1" "MYF5" 0.268104891577648 0.474877845051739 0.132253083921339
"56" "EDN1" "ELK3" 0.0458414109760117 0.147793817669518 0.236124509614766
"57" "EDN1" "BACH2" 0.000500895468094678 0.0115067802504059 0.399897099491929
"58" "EDN1" "E2F3" 0.301801475011392 0.497887179114838 0.123384140459194
"59" "EDN1" "SRF" 0.0887125540838091 0.228826270388822 0.202070872724934
"60" "EDN1" "NR3C1" 0.0260991572775558 0.11374558097084 0.262171200720304
"61" "EDN1" "CDX1" 0.253113066071159 0.463582475296338 0.136439642420734
"62" "EDN1" "BCL6" 0.119445234258485 0.27902406722782 0.185156601710721
"63" "EDN1" "FOXP1" 0.258114380203415 0.464441813803221 0.135024760434755
"64" "EDN1" "STAT1" 0.610358784269969 0.766605780070201 0.0610650202585375
"65" "EDN1" "ATF2" 0.666595300015866 0.795637109861529 -0.0516431924882629
"66" "EDN1" "MEF2D" 0.620188588056524 0.767351981832649 -0.0593928870023796
"67" "EDN1" "TFAP2E" 0.133564323999492 0.304693614123842 0.178500225094861
"68" "EDN1" "ZNF684" 0.451957350221469 0.650106139234823 0.0900379445623513
"69" "EDN1" "ETV3" 0.535707762548149 0.714277016730865 -0.074184835037623
"70" "EDN1" "ATF6" 0.341592873826105 0.551078006393495 -0.113705061418741
"71" "EDN1" "CREB1" 0.850286383268944 0.916175734001962 0.0226381117756769
"72" "EDN1" "KLF7" 0.0336228947287697 0.122723565760009 0.250755675606148
"73" "EDN1" "TGIF2" 0.179388882563587 0.370995435069431 0.160010290050807
"74" "EDN1" "KLF12" 0.0796673028210273 0.209575247060721 0.207923339121487
"75" "EDN1" "KLF9" 0.04035529408099 0.137578877221872 0.242234227281497
"76" "EDN1" "NKX2-3" 0.021927363428987 0.110392933125245 0.269763808700201
"77" "EDN1" "ELF1" 0.301420736178812 0.497887179114838 -0.12348060968551
"78" "EDN1" "EGR1" 0.0013055461539017 0.0181533084256807 0.371695928998649
"79" "EDN1" "TWIST1" 0.0962617172658076 0.238206961369626 0.197536819088044
"80" "EDN1" "EGR2" 0.0103753390422881 0.067324422229958 0.300308701524214
"81" "EDN1" "NR4A1" 0.0200360687749064 0.102796496562115 0.273618882243231
"82" "EDN1" "HOXC13" 0.505645855864725 0.683558286631943 0.0797157373464532
"83" "EDN1" "NFE2" 0.897605785933289 0.939489888602862 -0.0154350762106888
"84" "EDN1" "BATF3" 0.000920486641406705 0.0143463137877754 0.382275387484726
"85" "EDN1" "CTCFL" 0.0571411094682737 0.170257183313632 0.225232065859755
"86" "EDN1" "SNAI1" 0.648140237046603 0.785936913062934 0.0546980513216284
"87" "EDN1" "SOX4" 0.637358833797787 0.781969661634259 0.0564988102128754
"88" "EDN1" "RREB1" 0.731986919997909 0.844516943265019 0.0410637340021866
"89" "EDN1" "SOX21" 0.046059032218925 0.147793817669518 0.235894877643172
"90" "EDN1" "FOXA2" 0.403526201131315 0.616909166127456 -0.0999481799483189
"91" "EDN1" "NKX2-2" 0.197773406710419 0.392856018771717 -0.1535684879946
"92" "EDN1" "PLAGL2" 0.361028124705259 0.57606673450238 -0.109235320599395
"93" "EDN1" "THRA" 0.616021583944137 0.766605780070201 0.0601003279953695
"94" "EDN1" "IRF3" 0.50478515237923 0.683558286631943 -0.0798765193903145
"95" "EDN1" "GLIS2" 0.323356927962381 0.527487279134164 0.118046176602997
"96" "EDN1" "ZNF384" 0.039406646541837 0.136985009407338 -0.243359701588527
"97" "EDN1" "ELK1" 0.960872122064111 0.964174088119315 0.0058846228053251
"98" "EDN1" "KLF2" 0.0423664313477718 0.140972168348567 0.239918965849894
"99" "EDN1" "ATF4" 0.182687298674894 0.370995435069431 -0.158820502926233
"100" "EDN1" "FOXP2" 0.0523336359649176 0.160857070544799 0.229628915042768
"101" "EDN1" "HOXD9" 0.0478538237225233 0.150250715343837 0.234034343044569
"102" "EDN1" "MYOD1" 0.0258471420227965 0.11374558097084 0.262599510057422
"103" "EDN1" "SOX15" 0.00307951477320497 0.0281005723054954 0.344105730272043
"104" "EDN1" "FOXA1" 0.00472007271241192 0.0393788923435509 -0.329410251463117
"105" "EDN1" "NRL" 0.431937323457845 0.633402236287712 -0.0940574956588848
"106" "EDN1" "KLF16" 0.273994803488755 0.47908073424381 -0.130651488841726
"107" "EDN1" "JUND" 0.202243793374283 0.398238821115643 0.152067657084057
"108" "EDN1" "ZNF317" 0.74434037441038 0.84901323956184 0.0391021930670783
"109" "EDN1" "ZNF331" 0.655303653465171 0.788458407750385 -0.0535082641970545
"110" "EDN1" "CDX4" 0.357793034002753 0.574041571037384 0.10996882194981
"111" "EDN1" "RARA" 0.479486954004553 0.662965561618642 -0.0846678242973825
"112" "EDN1" "THAP1" 0.542287732021569 0.71976371704681 -0.0729950479130491
"113" "EDN1" "MEIS2" 0.00497128328010544 0.0403226310497441 0.327577336163097
