ensembl_gene_id	d0_A_Rep1	d0_A_Rep2	d0_A_Rep3	d0_A_Rep4	d0_Y_Pax7_Rep1	d0_Y_Pax7_Rep2	d0_Y_Pax7_Rep3	d0_Y_Rep1	d0_Y_Rep2	d0_Y_Rep3	d0_Y_Rep4	d1_A_Rep1	d1_A_Rep2	d1_Y_Rep1	d1_Y_Rep2	d1_Y_Rep3	d3_A_Rep1	d3_A_Rep2	d3_Y_Rep1	d3_Y_Rep2	d3_Y_Rep3	d5_A_Rep1	d5_A_Rep2	d5_Y_Rep1	d5_Y_Rep2	d7_A_Rep1	d7_A_Rep2	d7_A_Rep3	d7_A_Rep4	d7_Y_Rep1	d7_Y_Rep2	d7_Y_Rep3	d7_Y_Rep4
ENSMUSG00000050549	3.390942773	3.476381688	2.765534746	2.435628594	3.339137385	2.784503983	3.459431619	3.327687364	2.292781749	2.475084883	2.792855352	3.385431037	3.710393192	2.989139007	2.587364991	2.247927513	0.565597176	1.922197848	0.367371066	0.454175893	1.695993813	2.589763487	2.813524689	0.516015147	0.97819563	2.693765712	2.510961919	2.169925001	2.321928095	3.019701914	4.502712486	2.289834465	2.070389328
ENSMUSG00000050550	0.070389328	0.084064265	0.422233001	0.555816155	0.378511623	0.475084883	0.443606651	0.286881148	0.214124805	0.163498732	0.214124805	0.454175893	0.584962501	0.097610797	0.321928095	0.22650853	0.378511623	0.189033824	0.565597176	0.495695163	0.495695163	0.475084883	0.378511623	0.201633861	0.23878686	0.35614381	0.485426827	0.516015147	0.495695163	0.344828497	0.344828497	0.344828497	0.23878686
ENSMUSG00000050552	5.663629259	5.599912842	3.415488271	3.789729251	4.430954271	4.13996057	4.009884589	4.612352499	3.709290636	4.777156666	4.530445355	4.501439145	4.289834465	3.721372659	3.884597921	4.928370323	4.312519967	4.111031312	4.393690764	4.282439805	4.344828497	4.422233001	4.544732656	4.424250286	4.622344723	3.627606838	3.731183242	3.646162657	3.809414444	4.819157224	4.444932049	3.673556424	3.277984747
ENSMUSG00000050553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389328	0.028569152	0	0	0	0	0	0	0	0	0.176322773	0	0.014355293	0	0
ENSMUSG00000050555	1	1.244887059	1.555816155	1.63691458	1.682573297	2.046141782	1.584962501	0.815575429	1.622930351	0.575312331	0.992768431	1.292781749	1.163498732	2.014355293	1.89917563	1.333423734	1.726831217	1.007195501	1.967168608	1.959770155	1.150559677	1.063502942	1.316145742	1.996388746	1.944858446	2.121015401	1.922197848	2.454175893	1.773996325	2.124328135	1.475084883	1.827819025	2.459431619
ENSMUSG00000050556	0.35614381	0.5360529	1.516015147	1.220329955	1.40053793	1.98550043	2.974529312	1.220329955	0.422233001	1.584962501	1.077242999	1.89917563	1.929790998	0.411426246	0.941106311	0.35614381	0.23878686	0.695993813	0.056583528	0.042644337	0.310340121	1.59454855	1.545968369	0.378511623	0.443606651	0.695993813	0.704871964	0.485426827	1.111031312	0.5360529	2.480265122	0.35614381	0.23878686
ENSMUSG00000050558	0	0	0	0	0	0	0.189033824	0.014355293	0	0.014355293	0.014355293	0	0	0	0	0.475084883	0.111031312	0	0.214124805	0.275007047	0	0.097610797	0.097610797	0.150559677	0.201633861	0.669026766	0.422233001	0.137503524	0	0.22650853	1.007195501	0	0
ENSMUSG00000050565	6.850999395	6.767257526	6.586164246	6.557501994	7.51230591	6.386983342	6.496494307	5.915759896	7.514043336	6.742545234	6.800123353	6.615151418	6.460251099	7.278356528	7.276496666	7.15754905	6.623662052	6.353852559	6.918028379	6.963820884	6.627315001	5.961623328	5.971313624	7.573495715	7.565597176	7.281512802	7.236875245	7.230837051	7.092862829	7.000788758	7.257764969	7.324090516	7.388620077
ENSMUSG00000050567	1.384049807	1.35614381	1.89917563	1.910732662	1.90303827	1.432959407	1.378511623	0.687060688	1.22650853	1.545968369	1.232660757	1.459431619	1.372952098	1.948600847	1.632268215	1.691534165	0.722466024	1.49057013	0.344828497	0.443606651	1.372952098	0.454175893	0.565597176	0.748461233	0.815575429	1	1.007195501	2.422233001	2.40053793	1.454175893	0.879705766	1.941106311	2.13422094
ENSMUSG00000050577	0	0	0	0	0	0	0	0.111031312	0	0	0.042644337	0	0	0	0	0	0	0	0.028569152	0.014355293	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050578	0	0	0	0.933572638	0	1.448900951	1.469885976	0.970853654	0	0	0.40053793	0.422233001	0.333423734	0.310340121	0.250961574	0.495695163	0.565597176	0.111031312	2.541019153	2.59454855	0.321928095	2.070389328	2.124328135	4.451540833	4.529820947	1.13093087	0.992768431	0	2.924099886	3.0721058	2.214124805	0.443606651	1
ENSMUSG00000050587	1.411426246	1.298658316	2.411426246	2.298658316	0	0.910732662	0.748461233	1.669026766	1.35614381	0.713695815	1.257010618	1.361768359	1.709290636	1.384049807	1.669026766	0.722466024	0.432959407	0.367371066	0.411426246	0.378511623	0.23878686	0.970853654	1.014355293	0.584962501	0.575312331	1.541019153	1.526068812	0.799087306	0.622930351	1.650764559	2.097610797	0.613531653	0
